"id","question","sparql"
"0","What institutions is Steven Pinker associated with?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> SELECT distinct ?noa WHERE { ?person foaf:name ""Steven Pinker""^^xsd:string . ?person org:memberOf ?affiliation . ?affiliation foaf:name ?noa }"
"1","What is Yale University’s rank?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?rank WHERE { ?uni foaf:name ""Yale University""^^xsd:string . ?uni magp:rank ?rank }"
"2","What is the website for Harvard University?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> SELECT distinct ?website WHERE { ?uni foaf:name ""Harvard University""^^xsd:string . ?uni foaf:homepage ?website }"
"3","What is Yale University's academic ranking?","PREFIX magp: <https://makg.org/property/> SELECT distinct ?o WHERE { <https://makg.org/entity/32971472> magp:rank ?o }"
"4","How many citations does Inci Tuney have?","PREFIX foaf:<http://xmlns.com/foaf/0.1/> PREFIX xsd:<http://www.w3.org/2001/XMLSchema#> SELECT distinct ?h WHERE{?a foaf:name ""Inci Tuney""^^xsd:string ;<https://makg.org/property/citationCount> ?h}"
"5","How many papers are published by N. Portail?","PREFIX foaf:<http://xmlns.com/foaf/0.1/> PREFIX xsd:<http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE{ ?person foaf:name ""N. Portail""^^xsd:string ; <https://makg.org/property/paperCount> ?c}"
"6","Which papers cite the paper titled MapReduce: simplified data processing on large clusters?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX : <https://makg.org/class/> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cito: <http://purl.org/spar/cito/> SELECT ?t WHERE {  ?p rdf:type :Paper . ?p dcterms:title ""MapReduce: simplified data processing on large clusters""^^xsd:string . ?cp cito:cites ?p . ?cp dcterms:title ?t }"
"7","Are the number of citations on the paper ""Systems and methods for replicating data"" more than 100?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> PREFIX cls: <https://makg.org/class/> ASK{ ?a rdf:type cls:Paper . ?a dcterms:title ""Systems and methods for replicating data""^^xsd:string . ?a magp:citationCount ?n FILTER (?n > 100) }"
"8","Give the rank of University of Manchester?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?rank WHERE { ?uni foaf:name ""University of Manchester""^^xsd:string . ?uni magp:rank ?rank }"
"9","Is Youn Ju Kim affiliated with Seoul National University?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> ASK{ ?person foaf:name ""Youn Ju Kim""^^xsd:string . ?person org:memberOf ?affiliation . ?affiliation foaf:name ""Seoul National University""^^xsd:string }"
"10","What papers has Tyler Cowen published?","PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX prism: <http://prismstandard.org/namespaces/basic/2.0/> SELECT ?paper WHERE { ?paper dcterms:creator ?author .  ?author foaf:name ""Tyler Cowen""^^xsd:string }"
"11","How many papers have Sonia Khetarpaul authored?","PREFIX foaf:<http://xmlns.com/foaf/0.1/> PREFIX xsd:<http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE{ ?person foaf:name ""Sonia Khetarpaul""^^xsd:string ; <https://makg.org/property/paperCount> ?c}"
"12","How many papers are published by Apple?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?b WHERE {?o foaf:name ""Apple Inc.""^^xsd:string; magp:paperCount ?b}"
"13","How many citations did Dalila Yessad have?","PREFIX foaf:<http://xmlns.com/foaf/0.1/> PREFIX xsd:<http://www.w3.org/2001/XMLSchema#> SELECT distinct ?h WHERE{?a foaf:name ""Dalila Yessad""^^xsd:string ;<https://makg.org/property/citationCount> ?h}"
"14","Give the homepage of McGill University?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT ?s WHERE {?o foaf:name ""McGill University""^^xsd:string . ?o foaf:homepage ?s}"
"15","What all papers on BERT are published by Google?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX : <https://makg.org/class/> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX org: <http://www.w3.org/ns/org#> SELECT DISTINCT ?t WHERE{ ?s rdf:type :Paper . ?s dcterms:title ?t . ?s dcterms:creator ?a . ?a org:memberOf ?o .?o foaf:name ?n . ?t <bif:contains> ""BERT"". ?n <bif:contains> ""Google""}"
"16","When was Educational reading aid created?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?t dcterms:title ""Educational reading aid""^^xsd:string; dcterms:created ?c}"
"17","What award was bestowed to Andrew P. Iosue?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX mag: <https://makg.org/property> SELECT ?n WHERE { ?m <http://www.w3.org/2000/01/rdf-schema#label> ""Andrew P. Iosue""@en; <http://dbpedia.org/ontology/award> ?n}"
"18","Return the alma mater of Sanjay Ghemawat.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?n <http://www.w3.org/2000/01/rdf-schema#label> ""Sanjay Ghemawat""@en ; <http://schema.org/alumniOf> ?c}"
"19","Where was Rene Pilhes born?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX mag: <https://makg.org/property> SELECT ?n WHERE { ?m <http://www.w3.org/2000/01/rdf-schema#label> ""René Victor Pilhes""@en; <http://dbpedia.org/ontology/birthPlace> ?n}"
"20","Return the oganization Torsten Grust is a member of.","PREFIX : <https://makg.org/class/> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dbo:    <http://dbpedia.org/ontology/> PREFIX xsd:    <http://www.w3.org/2001/XMLSchema#> PREFIX mag: <https://makg.org/property> SELECT distinct ?i WHERE { ?a rdf:type :Author. ?a foaf:name ""Torsten Grust""^^xsd:string . ?a <http://www.w3.org/ns/org#memberOf> ?i}"
"21","Give all the papers authored by Yuxiao Dong?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?paper WHERE { ?paper rdf:type :Paper . ?paper dcterms:creator ?c . ?c foaf:name ""Yuxiao Dong""^^xsd:string}"
"22","Name members of Yale University.","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?rank WHERE { ?uni foaf:name ""Yale University""^^xsd:string . ?rank org:memberOf ?uni}"
"23","Name the university of Carla Brodley?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX mag: <https://makg.org/property> SELECT ?n WHERE { ?m <http://www.w3.org/2000/01/rdf-schema#label> ""Carla Brodley""@en; <http://schema.org/alumniOf> ?n}"
"24","Name the creators of gan?","PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?c WHERE{ ?p foaf:name ""Gan""^^xsd:string . ?c dcterms:creator ?p}"
"25","Name people working at Concordia University.","PREFIX org: <http://www.w3.org/ns/org#> SELECT distinct ?s WHERE { ?s org:memberOf <https://makg.org/entity/60158472>}"
"26","How many papers did Du linna publish?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX mag: <https://makg.org/property/> SELECT ?d WHERE { ?o <http://xmlns.com/foaf/0.1/name> ""DU Linna""^^xsd:string ; <https://makg.org/property/paperCount> ?d}"
"27","Darrin Eide is associated with which institutions?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> SELECT distinct ?institution WHERE { ?person foaf:name ""Darrin Eide""^^xsd:string . ?person org:memberOf ?institution}"
"28","What researchers are associated with Microsoft?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> SELECT distinct ?person WHERE {?person org:memberOf ?institution. ?institution foaf:name ""Microsoft""^^xsd:string}"
"29","What is the name of contributors in dell?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX org: <http://www.w3.org/ns/org#> SELECT distinct ?con WHERE {?c foaf:name ""Dell""^^<http://www.w3.org/2001/XMLSchema#string>. ?con <http://purl.org/dc/terms/creator> ?c}"
"30","Which papers are written by Iris Shen Zhe?","PREFIX dcterms: <http://purl.org/dc/terms/> SELECT distinct ?paper WHERE { ?paper dcterms:creator <https://makg.org/entity/2765335421>}"
"31","How many citations does Iris Shen have?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?person foaf:name ""Iris Shen Zhe""^^xsd:string . ?person <https://makg.org/property/citationCount> ?c}"
"32","How many papers have Alvin Chen published?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?person foaf:name ""Alvin Chen""^^xsd:string . ?person <https://makg.org/property/paperCount> ?c}"
"33","How many papers cited Antonio Gulli?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?n WHERE { ?person foaf:name ""Antonio Gulli""^^xsd:string .  ?person <https://makg.org/property/citationCount> ?n}"
"34","How much is Ananthram Swami's rank?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?r WHERE { ?person foaf:name ""Ananthram Swami""^^xsd:string .  ?person <https://makg.org/property/rank> ?r}"
"35","What is the official website of the University of Alberta?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT distinct ?w WHERE {  <https://makg.org/entity/154425047> foaf:homepage ?w }"
"36","How many papers does Speech and Language Processing for Multimodal Human-Computer Interaction cite?","PREFIX magp: <https://makg.org/property/> SELECT distinct ?p WHERE {<https://makg.org/entity/2129294637> magp:referenceCount ?p}"
"37","Who are the members of the University of Ottawa?","PREFIX org: <http://www.w3.org/ns/org#> SELECT distinct ?m WHERE { ?m org:memberOf <https://makg.org/entity/153718931> } "
"38","Microsoft Academic Service (MAS) and Applications appears in which conference series?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT ?b WHERE { ?o dcterms:title ""An Overview of Microsoft Academic Service (MAS) and Applications""^^xsd:string ; magp:appearsInConferenceSeries ?b}"
"39","Name the creators of Heterogeneous Graph Transformer.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT ?c WHERE { ?o rdf:type :Paper . ?o dcterms:title ""Heterogeneous Graph Transformer""^^xsd:string . ?o dcterms:creator ?c }"
"40","How much is the reference count of Investigations on Rating Computer Sciences Conferences?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT ?b WHERE { ?o dcterms:title ""Investigations on Rating Computer Sciences Conferences""^^xsd:string . ?o magp:referenceCount ?b}"
