"id","question","sparql"
"0","Where was IBM founded?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX schema: <http://schema.org/> SELECT ?location WHERE { ?company rdfs:label ""IBM""@en . ?company schema:foundingLocation ?location} "
"1","Who founded Intel?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX schema: <http://schema.org/> SELECT ?person WHERE { ?company rdfs:label ""Intel""@en . ?company schema:founder ?person}  "
"2","Who created English Wikipedia?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX schema: <http://schema.org/> SELECT ?person WHERE { ?company rdfs:label ""Wikipedia""@en . ?company schema:creator ?person}"
"3","Which software has been published by Epic Games?","PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX schema: <http://schema.org/> SELECT ?games WHERE { ?s rdfs:label ""Epic Games""@en .?games schema:publisher ?s} "
"4","Who were the parents of Queen Victoria?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX schema: <http://schema.org/> SELECT ?parents WHERE { ?person rdfs:label ""Queen Victoria""@en . ?person schema:parent ?parents} "
"5","Where did Abraham Lincoln die?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX schema: <http://schema.org/> SELECT ?place WHERE { <http://yago-knowledge.org/resource/Abraham_Lincoln> schema:deathPlace ?place}"
"6","Give me all movies with Tom Cruise.","PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?movie WHERE { ?actor rdfs:label ""Tom Cruise""@en . ?movie schema:actor ?actor} "
"7","What is the profession of Frank Herbert?","PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?occupation WHERE {?person rdfs:label ""Frank Herbert""@en . ?person schema:hasOccupation ?occupation}  "
"8","When was the De Beers company founded?","PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>SELECT xsd:date(?date) WHERE { ?company rdfs:label ""De Beers""@en . ?company schema:foundingDate ?date}   "
"9","Is the wife of President Obama called Michelle?","PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> Ask WHERE { ?person rdfs:label ""Barack Obama""@en . ?person schema:spouse ?spouse . ?spouse rdfs:label ""Michelle Obama""@en} "
