QALD
P,R,F1
3.174603174603175e-05,0.006666666666666667,6.319115323854662e-05
../chatbot/logs/chatbot/ruby/exp-dblp-dialogue_20250126-160535
P,R,F1
72.91,51.39,60.29
../chatbot/logs/chatbot/ruby/exp-dblp-original_20250126-161129
P,R,F1
74.63,56.67,64.42
../chatbot/logs/chatbot/ruby/exp-dbpedia-dialogue_20250126-055631
P,R,F1
67.02,27.66,39.16
../chatbot/logs/chatbot/ruby/exp-dbpedia-original_20250126-164746
P,R,F1
64.94,31.91,42.8
../chatbot/logs/chatbot/ruby/exp-yago-original_20250126-161520
P,R,F1
72.09,68.6,70.31
../chatbot/logs/chatbot/ruby/exp-yago-dialogue_20250126-180647
P,R,F1
83.14,62.79,71.55
baseline_results/convinse_results_dblp
P,R,F1
0.0,0.0,0
baseline_results/convinse_results_dbpedia
P,R,F1
6.38,6.38,6.38
baseline_results/convinse_results_yago
P,R,F1
2.33,1.55,1.86
baseline_results/explaignn_results_dblp
P,R,F1
0.0,0.0,0
baseline_results/explaignn_results_dbpedia
P,R,F1
8.51,8.51,8.51
baseline_results/explaignn_results_yago
P,R,F1
0.0,0.0,0
