"id","question","sparql"
"0","What are the publications of Michael Stonebraker?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?o where {?n <http://www.w3.org/2000/01/rdf-schema#label> ""Michael Stonebraker"". ?o xsd:authoredBy ?n.}"
"1","Name the author of the paper of title ""MIMO Systems with Intentional Timing Offset""","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?p where { ?o xsd:title ""MIMO Systems with Intentional Timing Offset."" .?o xsd:authoredBy ?p. }"
"2","How many people authored A study of a divided learning method?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?n WHERE {?p xsd:title ""A study of a divided learning method.""; xsd:numberOfCreators ?n}"
"3","What is the primary affiliation of Mourad Ouzzani?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?o where {<https://dblp.org/pid/o/MouradOuzzani> xsd:primaryAffiliation ?o}"
"4","What was the journal volume where Wavelet Transform for Processing Power Quality Disturbances was published?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?s where {<https://dblp.org/rec/journals/ejasp/ChenZ07> xsd:publishedInJournalVolume ?s}"
"5","Which publications were authored by Stefano Ceri?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct  ?p where { ?p <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/c/StefanoCeri> }"
"6","What is the year of publication of Performance Improvement of TDOA-Based Speaker Localization in Joint Noisy?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<https://dblp.org/rdf/schema#> select distinct ?o where {?t xsd:title ""Performance Improvement of TDOA-Based Speaker Localization in Joint Noisy and Reverberant Conditions.""; xsd:yearOfPublication ?o}"
"7","State the page numbers of Tracking Complete Deformable Objects with Finite Elements?","PREFIX xsd: <https://dblp.org/rdf/schema#>select distinct ?p where { ?s xsd:title ""Tracking Complete Deformable Objects with Finite Elements."" ; xsd:pagination ?p }"
"8","DOE-SLAM: Dynamic Object Enhanced Visual SLAM is published in which journal?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?o where {?s xsd:title ""DOE-SLAM: Dynamic Object Enhanced Visual SLAM."" ; xsd:publishedInJournal ?o }"
"9","What is published in Trans. Rough Sets?","PREFIX xsd: <https://dblp.org/rdf/schema#>  select distinct ?t where {?s xsd:publishedIn ""Trans. Rough Sets""; xsd:title ?t }"
"10","What was authored by Christoph Anneser?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?o where {?o xsd:authoredBy ?s. ?s <http://www.w3.org/2000/01/rdf-schema#label> ""Christoph Anneser"".}"
"11","Give some publications of Gunter Saake from the book Grundlagen von Datenbanken?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?p where {?p xsd:authoredBy ?h . ?h <http://www.w3.org/2000/01/rdf-schema#label> ""Gunter Saake"".?p xsd:publishedInBook ""Grundlagen von Datenbanken""}"
"12","What was published by Silvia Kolmschlag in 1995?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?t where { ?p xsd:title ?t. ?p xsd:authoredBy ?h . ?h <http://www.w3.org/2000/01/rdf-schema#label> ""Silvia Kolmschlag"". ?p xsd:yearOfPublication ""1995""}"
"13","Name the work edited by Stanley B. Zdonik?","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd: <http://www.w3.org/2000/01/rdf-schema#> select distinct ?r where {?r xsd:editedBy ?h .?h xd:label ""Stanley B. Zdonik""}"
"14","How many authors were involved in Detecting Problem Statements in Peer Assessments?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?n WHERE {?p xsd:title ""Detecting Problem Statements in Peer Assessments.""; xsd:numberOfCreators ?n}"
"15","What school published Analyse nichtlinearer stochastischer Systeme?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?s where { ?p xsd:title ""Analyse nichtlinearer stochastischer Systeme."" .?p xsd:thesisAcceptedBySchool ?s}"
